ROUTE_PATH,DEST_AIRPORT_SEQ_ID,ORIGIN_AIRPORT_SEQ_ID,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,_c45,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,ORIGIN_UTC_LOCAL_TIME_VARIATION,DEST_LATITUDE,DEST_LONGITUDE,DEST_UTC_LOCAL_TIME_VARIATION,WHEELS_OFF_UTC_DATETIME,WHEELS_ON_UTC_DATETIME,ENTRY_LATITUDE,ENTRY_LONGITUDE,EXIT_LATITUDE,EXIT_LONGITUDE,ENTRY_TIME,EXIT_TIME,IS_IN_AREA
1127805->1161802,1161802,1127805,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N726YX,3422,11278,DCA,"Washington, DC",VA,Virginia,11618,EWR,"Newark, NJ",NJ,New Jersey,735,948,133.0,7.0,955,1050,7.0,857,1057,120.0,0.0,"",0.0,82.0,69.0,55.0,199.0,1,0.0,0.0,120.0,0.0,0.0,"",38.85138889,-77.03777778,-500,40.6925,-74.16861111,-500,2019-05-25T14:55:00.000Z,2019-05-25T15:50:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1161802,1161802,1143302,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N855RW,3526,11433,DTW,"Detroit, MI",MI,Michigan,11618,EWR,"Newark, NJ",NJ,New Jersey,830,857,27.0,21.0,918,1042,13.0,1023,1055,32.0,0.0,"",0.0,98.0,118.0,84.0,488.0,2,0.0,0.0,32.0,0.0,0.0,"",42.2125,-83.35333333,-500,40.6925,-74.16861111,-500,2019-05-25T14:18:00.000Z,2019-05-25T15:42:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1233904->1295304,1295304,1233904,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N433YX,4535,12339,IND,"Indianapolis, IN",IN,Indiana,12953,LGA,"New York, NY",NY,New York,835,832,-3.0,13.0,845,1016,8.0,1036,1024,-12.0,0.0,"",0.0,121.0,112.0,91.0,660.0,3,"","","","","","",39.71722222,-86.29472222,-500,40.77722222,-73.8725,-500,2019-05-25T13:45:00.000Z,2019-05-25T15:16:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1410005->1226603,1226603,1410005,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N424YX,4539,14100,PHL,"Philadelphia, PA",PA,Pennsylvania,12266,IAH,"Houston, TX",TX,Texas,750,746,-4.0,15.0,801,1000,36.0,1032,1036,4.0,0.0,"",0.0,222.0,230.0,179.0,1325.0,6,"","","","","","",39.87194444,-75.24055556,-500,29.98444444,-95.34138889,-600,2019-05-25T13:01:00.000Z,2019-05-25T16:00:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1410005->1336003,1336003,1410005,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N126HQ,4567,14100,PHL,"Philadelphia, PA",PA,Pennsylvania,13360,MLB,"Melbourne, FL",FL,Florida,825,819,-6.0,35.0,854,1053,4.0,1109,1057,-12.0,0.0,"",0.0,164.0,158.0,119.0,868.0,4,"","","","","","",39.87194444,-75.24055556,-500,28.10277778,-80.64527778,-500,2019-05-25T13:54:00.000Z,2019-05-25T15:53:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1295304->1348702,1348702,1295304,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N437YX,4570,12953,LGA,"New York, NY",NY,New York,13487,MSP,"Minneapolis, MN",MN,Minnesota,725,720,-5.0,16.0,736,902,4.0,928,906,-22.0,0.0,"",0.0,183.0,166.0,146.0,1020.0,5,"","","","","","",40.77722222,-73.8725,-500,44.88194444,-93.22166667,-600,2019-05-25T12:36:00.000Z,2019-05-25T15:02:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1233904->1105703,1105703,1233904,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N109HQ,4572,12339,IND,"Indianapolis, IN",IN,Indiana,11057,CLT,"Charlotte, NC",NC,North Carolina,855,847,-8.0,9.0,856,1008,10.0,1039,1018,-21.0,0.0,"",0.0,104.0,91.0,72.0,427.0,2,"","","","","","",39.71722222,-86.29472222,-500,35.21361111,-80.94916667,-500,2019-05-25T13:56:00.000Z,2019-05-25T15:08:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1349505,1349505,1127805,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N422YX,4588,11278,DCA,"Washington, DC",VA,Virginia,13495,MSY,"New Orleans, LA",LA,Louisiana,859,852,-7.0,16.0,908,1016,6.0,1047,1022,-25.0,0.0,"",0.0,168.0,150.0,128.0,969.0,4,"","","","","","",38.85138889,-77.03777778,-500,29.99333333,-90.25916667,-600,2019-05-25T14:08:00.000Z,2019-05-25T16:16:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1348702->1127805,1127805,1348702,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N104HQ,4594,13487,MSP,"Minneapolis, MN",MN,Minnesota,11278,DCA,"Washington, DC",VA,Virginia,704,659,-5.0,10.0,709,1007,19.0,1039,1026,-13.0,0.0,"",0.0,155.0,147.0,118.0,931.0,4,"","","","","","",44.88194444,-93.22166667,-600,38.85138889,-77.03777778,-500,2019-05-25T13:09:00.000Z,2019-05-25T15:07:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1501606->1330303,1330303,1501606,2019,2,5,25,6,2019-05-25T00:00:00.000Z,YX,20452,N409YX,4604,15016,STL,"St. Louis, MO",MO,Missouri,13303,MIA,"Miami, FL",FL,Florida,810,807,-3.0,13.0,820,1144,6.0,1200,1150,-10.0,0.0,"",0.0,170.0,163.0,144.0,1068.0,5,"","","","","","",38.74861111,-90.37,-600,25.79527778,-80.29,-500,2019-05-25T14:20:00.000Z,2019-05-25T16:44:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
